zpid,state_code,state_name,address,street,city,zipcode,price,price_formatted,beds,baths,area_sqft,latitude,longitude,status,home_type,days_on_zillow,zestimate,detail_url,has_open_house,open_house_date,is_featured,state
13371070,CO,Colorado,"1511 S Corona Street, Denver, CO 80210",1511 S Corona Street,Denver,80210,1250000,"$1,250,000",4,3,2864,39.689034,-104.974915,House for sale,SINGLE_FAMILY,9,NA,https://www.zillow.com/homedetails/1511-S-Corona-St-Denver-CO-80210/13371070_zpid/,FALSE,NA,FALSE,CO
332838320,CO,Colorado,"744 Penstemon Drive, Henderson, CO 80640",744 Penstemon Drive,Henderson,80640,569000,"$569,000",3,3,3516,39.910263,-104.8331,Coming soon,SINGLE_FAMILY,3,590500,https://www.zillow.com/homedetails/744-Penstemon-Dr-Henderson-CO-80640/332838320_zpid/,FALSE,NA,FALSE,CO
13684979,CO,Colorado,"9586 W 104th Drive, Broomfield, CO 80021",9586 W 104th Drive,Westminster,80021,525000,"$525,000",3,2,1233,39.88241,-105.1061,Coming soon,SINGLE_FAMILY,2,NA,https://www.zillow.com/homedetails/9586-W-104th-Dr-Westminster-CO-80021/13684979_zpid/,FALSE,NA,FALSE,CO
147369191,CO,Colorado,"10051 Belvedere Circle, Lone Tree, CO 80124",10051 Belvedere Circle,Lone Tree,80124,635000,"$635,000",2,3,1559,39.53334,-104.87966,Coming soon,TOWNHOUSE,1,NA,https://www.zillow.com/homedetails/10051-Belvedere-Cir-Lone-Tree-CO-80124/147369191_zpid/,FALSE,NA,FALSE,CO
13108843,CO,Colorado,"4716 S Zeno Street, Aurora, CO 80015",4716 S Zeno Street,Aurora,80015,475000,"$475,000",3,2,1663,39.62981,-104.774086,House for sale,SINGLE_FAMILY,2,NA,https://www.zillow.com/homedetails/4716-S-Zeno-St-Aurora-CO-80015/13108843_zpid/,FALSE,NA,FALSE,CO
13386823,CO,Colorado,"3090 S Franklin Street, Denver, CO 80210",3090 S Franklin Street,Denver,80210,979000,"$979,000",3,3,2364,39.660976,-104.96851,House for sale,SINGLE_FAMILY,2,NA,https://www.zillow.com/homedetails/3090-S-Franklin-St-Denver-CO-80210/13386823_zpid/,FALSE,NA,FALSE,CO
13783917,CO,Colorado,"1195 S Allison Street, Lakewood, CO 80232",1195 S Allison Street,Lakewood,80232,599950,"$599,950",3,3,2892,39.69512,-105.086655,Coming soon,SINGLE_FAMILY,2,658700,https://www.zillow.com/homedetails/1195-S-Allison-St-Lakewood-CO-80232/13783917_zpid/,FALSE,NA,FALSE,CO
13654482,CO,Colorado,"5880 Bourke Dr, Colorado Springs, CO 80919",5880 Bourke Dr,Colorado Springs,80919,455000,"$455,000",3,3,1803,38.915707,-104.86005,House for sale,SINGLE_FAMILY,3,NA,https://www.zillow.com/homedetails/5880-Bourke-Dr-Colorado-Springs-CO-80919/13654482_zpid/,TRUE,2026-02-08T13:00:00Z,FALSE,CO
181585109,CO,Colorado,"4208 Notch Trl, Colorado Springs, CO 80924",4208 Notch Trl,Colorado Springs,80924,750000,"$750,000",5,4,3549,38.978985,-104.747604,House for sale,SINGLE_FAMILY,2,NA,https://www.zillow.com/homedetails/4208-Notch-Trl-Colorado-Springs-CO-80924/181585109_zpid/,FALSE,NA,FALSE,CO
123601874,CO,Colorado,"19133 W 95th Lane, Arvada, CO 80007",19133 W 95th Lane,Arvada,80007,1550000,"$1,550,000",7,5,6264,39.870335,-105.21659,Coming soon,SINGLE_FAMILY,1,NA,https://www.zillow.com/homedetails/19133-W-95th-Ln-Arvada-CO-80007/123601874_zpid/,FALSE,NA,FALSE,CO
13755623,CO,Colorado,"25997 Mountain View Road, Golden, CO 80226",25997 Mountain View Road,GOLDEN,80401,1095000,"$1,095,000",3,2,3020,39.722687,-105.29412,House for sale,SINGLE_FAMILY,3,NA,https://www.zillow.com/homedetails/25997-Mountain-View-Rd-Golden-CO-80401/13755623_zpid/,FALSE,NA,FALSE,CO
13397364,CO,Colorado,"270 S Krameria Street, Denver, CO 80224",270 S Krameria Street,Denver,80224,2125000,"$2,125,000",5,5,4016,39.71181,-104.916275,House for sale,SINGLE_FAMILY,3,NA,https://www.zillow.com/homedetails/270-S-Krameria-St-Denver-CO-80224/13397364_zpid/,TRUE,2026-02-08T11:00:00Z,FALSE,CO
13568124,CO,Colorado,"7518 Vincent Dr, Colorado Springs, CO 80920",7518 Vincent Dr,Colorado Springs,80920,999900,"$999,900",4,3,3752,38.94067,-104.81064,House for sale,SINGLE_FAMILY,5,950100,https://www.zillow.com/homedetails/7518-Vincent-Dr-Colorado-Springs-CO-80920/13568124_zpid/,FALSE,NA,FALSE,CO
